Dates,Category,Descript,PdDistrict,Resolution,Address,X,Y
2014-11-15 16:00:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,INGLESIDE,NONE,700 Block of FOERSTER ST,-122.448821605505,37.7350930854661
2007-09-04 15:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2014-01-22 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,FILLMORE ST / MCALLISTER ST,-122.43176548943899,37.778631113124796
2006-05-06 04:00:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,RICHMOND,NONE,2500 Block of CALIFORNIA ST,-122.43631219261299,37.7885361638836
2005-05-18 03:30:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",TENDERLOIN,NONE,200 Block of POWELL ST,-122.40820165725401,37.7868849113107
2008-02-22 06:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,BAYVIEW,NONE,400 Block of WHEELER AV,-122.400390038778,37.710390875996396
2007-11-16 17:25:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.412930522059,37.7838344374141
2005-08-25 16:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,PARK,NONE,DIVISADERO ST / WALLER ST,-122.436851371131,37.7703425963685
2010-02-25 19:35:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",PARK,"ARREST, BOOKED",DIVISADERO ST / TURK ST,-122.43874173736799,37.779659315025796
2010-01-11 00:01:00,MISSING PERSON,MISSING ADULT,SOUTHERN,LOCATED,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2012-10-20 01:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,NORTHERN,NONE,BUSH ST / POLK ST,-122.420307355721,37.788698951164704
2008-11-26 16:50:00,WARRANTS,WARRANT ARREST,BAYVIEW,"ARREST, BOOKED",22ND ST / 3RD ST,-122.388318045049,37.757939423202
2011-04-23 16:27:00,ASSAULT,INFLICT INJURY ON COHABITEE,INGLESIDE,NONE,0 Block of BROOKDALE AV,-122.420864146521,37.71219982598
2003-10-17 00:01:00,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",BAYVIEW,NONE,1300 Block of DE HARO ST,-122.40051268534,37.7532081441194
2004-11-27 20:30:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,SOUTHERN,NONE,FOLSOM ST / 1ST ST,-122.39448487431801,37.7872982355015
2011-09-20 14:15:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,PARK,NONE,1600 Block of TURK ST,-122.436253005441,37.7799162726094
2003-01-24 21:32:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,MISSION,"ARREST, BOOKED",MISSION ST / 15TH ST,-122.419827929969,37.7666737551881
2003-07-21 08:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",BAYVIEW,NONE,BAYVIEW ST / POMONA ST,-122.393243081245,37.73261626978649
2006-02-07 20:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,MISSION ST / 7TH ST,-122.41093920555201,37.779212259008496
2013-10-05 11:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",TENDERLOIN,"ARREST, CITED",OFARRELL ST / HYDE ST,-122.416261836834,37.78537508463761
2007-05-15 18:00:00,ROBBERY,ATTEMPTED ROBBERY WITH A KNIFE,SOUTHERN,NONE,6TH ST / MINNA ST,-122.408162953857,37.780534538527796
2010-07-15 13:40:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,TENDERLOIN,"ARREST, CITED",200 Block of TURK ST,-122.413259498719,37.7829514828801
2012-07-13 00:01:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,PARK,NONE,100 Block of ORD ST,-122.440169821236,37.7614994935301
2006-10-06 19:10:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2011-12-02 14:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,CENTRAL,NONE,500 Block of SUTTER ST,-122.40942360467501,37.7890647342848
2008-02-07 02:57:00,ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,SOUTHERN,"ARREST, BOOKED",BRYANT ST / 2ND ST,-122.393622739343,37.783079119147104
2003-10-04 18:15:00,WEAPON LAWS,POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT,RICHMOND,"ARREST, BOOKED",1800 Block of DIVISADERO ST,-122.440040391343,37.7866702442116
2005-10-04 08:18:00,ASSAULT,BATTERY,INGLESIDE,NONE,300 Block of JUDSON AV,-122.450000790445,37.72841807066021
2013-03-04 07:55:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,NONE,600 Block of STEVENSON ST,-122.412651894354,37.7795131668888
2003-09-06 16:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",RICHMOND,NONE,300 Block of 24TH AV,-122.483937764676,37.782982859148795
2008-04-19 11:15:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,TENDERLOIN,"ARREST, BOOKED",300 Block of TURK ST,-122.414900544562,37.7827419623926
2008-05-01 21:52:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,CENTRAL,"ARREST, BOOKED",SUTTER ST / LARKIN ST,-122.418467747931,37.7879652569797
2011-07-25 16:17:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,INGLESIDE,NONE,700 Block of GATES ST,-122.41444959621201,37.7340387867203
2006-11-19 20:00:00,MISSING PERSON,FOUND PERSON,BAYVIEW,LOCATED,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321
2010-03-22 10:30:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,TENDERLOIN,"ARREST, CITED",MASON ST / OFARRELL ST,-122.40968619183701,37.7862042105295
2004-10-16 04:30:00,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,TENDERLOIN,NONE,300 Block of ELLIS ST,-122.411965795229,37.78491418595621
2009-04-13 00:01:00,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY",INGLESIDE,NONE,0 Block of BROOKDALE AV,-122.4208910342,37.7120920675614
2003-08-20 13:45:00,DRUG/NARCOTIC,SALE OF MARIJUANA,SOUTHERN,"ARREST, BOOKED",JONES ST / MARKET ST,-122.41197948750099,37.780903969652904
2012-11-12 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",SOUTHERN,NONE,FOLSOM ST / MAIN ST,-122.391862129659,37.7893703016967
2009-10-04 03:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,INGLESIDE,NONE,3000 Block of CASTRO ST,-122.432565005868,37.73541794443121
2004-01-24 12:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",BAYVIEW,"ARREST, CITED",JERROLD AV / TOLAND ST,-122.39874867107099,37.74409770093379
2009-04-27 10:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,7TH ST / MINNA ST,-122.41040560213499,37.778784148603286
2007-05-28 17:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",RICHMOND,NONE,FULTON ST / 27TH AV,-122.486334488044,37.7724693804648
2015-04-14 22:04:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,SOUTHERN,"ARREST, BOOKED",3RD ST / TOWNSEND ST,-122.39275357357401,37.7788518670227
2009-09-15 07:30:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,4TH ST / MARKET ST,-122.405832474482,37.7857446545609
2013-04-07 09:34:00,ASSAULT,THREATS AGAINST LIFE,BAYVIEW,"ARREST, BOOKED",1600 Block of REVERE AV,-122.390815719788,37.732099514522
2006-09-04 03:00:00,OTHER OFFENSES,HARASSING PHONE CALLS,TENDERLOIN,NONE,100 Block of EDDY ST,-122.41013523637699,37.78418890752671
2010-05-18 07:30:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",PARK,NONE,1500 Block of 7TH AV,-122.46391453597602,37.75945081469821
2012-08-22 18:00:00,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,SOUTHERN,NONE,POWELL ST / MARKET ST,-122.40754585593099,37.784401179486
2011-01-29 23:20:00,NON-CRIMINAL,LOST PROPERTY,CENTRAL,NONE,200 Block of COLUMBUS AV,-122.40650362607201,37.79767789694579
2006-01-24 00:27:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,TENDERLOIN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,200 Block of POWELL ST,-122.40820165725401,37.7868849113107
2014-04-04 18:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",NORTHERN,"ARREST, CITED",OFARRELL ST / LARKIN ST,-122.417903977564,37.785167087551706
2012-09-07 22:30:00,NON-CRIMINAL,FOUND PROPERTY,SOUTHERN,NONE,1700 Block of MARKET ST,-122.42247798226002,37.772756518019904
2009-09-18 23:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,NORTHERN,"ARREST, BOOKED",1000 Block of LAGUNA ST,-122.427179879518,37.7806552772342
2003-04-19 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,CENTRAL,NONE,JONES ST / BUSH ST,-122.4137314616,37.7895283021198
2014-10-05 21:30:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,MISSION,NONE,1200 Block of TREAT AV,-122.41283040295001,37.7501495078008
2015-01-05 14:30:00,DISORDERLY CONDUCT,DISTURBING THE PEACE,BAYVIEW,NONE,0 Block of WESTPOINT RD,-122.380291012279,37.7354366994577
2004-03-30 16:56:00,WARRANTS,WARRANT ARREST,TARAVAL,"ARREST, BOOKED",100 Block of RICE ST,-122.45867959147101,37.709363457845896
2009-06-12 21:45:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,MISSION,"ARREST, BOOKED",19TH ST / SHOTWELL ST,-122.415929849548,37.7604330003754
2015-03-18 13:54:00,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,MISSION,"ARREST, BOOKED",1800 Block of FOLSOM ST,-122.41560549623699,37.767717752066496
2010-07-30 13:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",SOUTHERN,NONE,0 Block of 8TH ST,-122.41368455516701,37.7777984628537
2012-04-22 17:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,BAYVIEW,NONE,1300 Block of SILVER AV,-122.409171381183,37.73129036240179
2004-08-19 12:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,SOUTHERN,NONE,1300 Block of MARKET ST,-122.416991089644,37.777074192255995
2008-05-29 20:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,MISSION,NONE,SHOTWELL ST / 22ND ST,-122.415473931513,37.75563329793221
2010-05-18 09:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,TARAVAL,NONE,300 Block of SANTAANA AV,-122.46793003816002,37.7306155842898
2006-10-07 00:01:00,GAMBLING,POSSESSION OF GAMBLING PARAPHERNALIA,NORTHERN,NONE,2400 Block of POLK ST,-122.422364540762,37.79924525789279
2008-05-26 02:25:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,CENTRAL,NONE,BROADWAY ST / KEARNY ST,-122.40547592923099,37.7980180687744
2003-01-24 00:45:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,MISSION,"ARREST, BOOKED",400 Block of DIVISION ST,-122.411288269737,37.7688451751154
2009-10-27 12:30:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",TENDERLOIN,NONE,100 Block of EDDY ST,-122.410157073911,37.784297384331204
2009-08-19 07:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,PARK,NONE,100 Block of DOWNEY ST,-122.44691693983201,37.76538453362861
2005-10-05 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",CENTRAL,NONE,POWELL ST / CLAY ST,-122.40954362657101,37.7938511491354
2003-04-05 15:22:00,OTHER OFFENSES,PROBATION VIOLATION,NORTHERN,"ARREST, BOOKED",300 Block of VAN NESS AV,-122.419916164613,37.7791854168673
2005-05-18 14:20:00,ASSAULT,BATTERY,BAYVIEW,NONE,200 Block of CONNECTICUT ST,-122.39762172766399,37.7631413193261
2009-03-08 10:43:00,OTHER OFFENSES,TRAFFIC VIOLATION,BAYVIEW,"ARREST, BOOKED",1500 Block of 7TH ST,-122.39450563868999,37.7660299306216
2007-04-17 10:00:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",TARAVAL,NONE,2100 Block of TARAVAL ST,-122.48909019222602,37.7424057567334
2011-06-02 02:52:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",CENTRAL,PSYCHOPATHIC CASE,900 Block of COLUMBUS AV,-122.41435430115101,37.8031089840376
2007-04-16 08:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,SOUTHERN,"ARREST, BOOKED",500 Block of JESSIE ST,-122.40967880677799,37.780978048463
2011-12-16 15:00:00,ASSAULT,STALKING,NORTHERN,NONE,800 Block of HAYES ST,-122.430381120594,37.7758830719591
2005-09-08 11:57:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",BAYVIEW,PSYCHOPATHIC CASE,2100 Block of JENNINGS ST,-122.38890440663299,37.7266917170382
2012-11-13 22:12:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,NORTHERN,"ARREST, BOOKED",SUTTER ST / POLK ST,-122.420120319204,37.787757060241105
2014-07-12 15:28:00,TRESPASS,TRESPASSING,CENTRAL,"ARREST, CITED",600 Block of HYDE ST,-122.416614060876,37.786777956045
2006-08-21 13:35:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",PARK,"ARREST, BOOKED",HAIGHT ST / COLE ST,-122.450709919144,37.7695262270693
2004-02-22 23:40:00,WARRANTS,WARRANT ARREST,SOUTHERN,"ARREST, BOOKED",6TH ST / MARKET ST,-122.41029351969699,37.7822305869807
2014-10-14 21:23:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,NORTHERN,"ARREST, BOOKED",SACRAMENTO ST / GOUGH ST,-122.42580492531401,37.7908727425161
2005-01-12 21:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NORTHERN,NONE,UNION ST / OCTAVIA ST,-122.428916492954,37.79792539555061
2005-06-15 23:10:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",NORTHERN,NONE,1100 Block of VANNESS AV,-122.421648984394,37.7861425696729
2008-01-23 04:26:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",SOUTHERN,NONE,1000 Block of MISSION ST,-122.40989282029,37.7801134973164
2011-11-03 16:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,TARAVAL,NONE,0 Block of FORESTVIEW DR,-122.48363604868999,37.7333514774948
2010-08-24 19:00:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / LEAVENWORTH ST,-122.413869632554,37.7818621883021
2007-11-29 19:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",MISSION,NONE,CAPP ST / 17TH ST,-122.418486296575,37.763495437314404
2007-09-04 19:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,NORTHERN,NONE,2200 Block of UNION ST,-122.43634053076599,37.79703639636929
2003-02-08 14:17:00,OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,CENTRAL,"ARREST, CITED",800 Block of THE EMBARCADERO NORTH ST,-122.40038746482,37.8025735991651
2008-12-26 07:40:00,MISSING PERSON,FOUND PERSON,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668
2011-12-17 00:15:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",TARAVAL,NONE,2900 Block of TARAVAL ST,-122.49765932149299,37.7420246370177
2009-11-15 12:00:00,NON-CRIMINAL,LOST PROPERTY,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2013-03-05 06:32:00,TRESPASS,TRESPASSING,CENTRAL,"ARREST, CITED",400 Block of STOCKTON ST,-122.406977563692,37.789918101686
2012-08-26 22:54:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,CENTRAL,"ARREST, BOOKED",MASON ST / LOMBARD ST,-122.413039101168,37.8028262999283
2011-07-27 20:22:00,OTHER OFFENSES,PAROLE VIOLATION,PARK,"ARREST, BOOKED",700 Block of STANYAN ST,-122.453376250788,37.7687142722405
2009-09-06 12:30:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,CENTRAL,NONE,300 Block of BAY ST,-122.412782236976,37.8056654684523
2013-07-11 01:26:00,ASSAULT,THREATS AGAINST LIFE,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-05-29 08:55:00,WARRANTS,WARRANT ARREST,NORTHERN,"ARREST, BOOKED",EDDY ST / POLK ST,-122.419183096369,37.7830998244363
2006-02-23 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,SOUTHERN,NONE,6TH ST / MISSION ST,-122.40871060666299,37.78097067220529
2007-02-05 15:37:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,MISSION,"ARREST, BOOKED",25TH ST / MISSION ST,-122.41828927686599,37.750640293923
2004-02-04 07:05:00,TRESPASS,TRESPASSING,MISSION,"ARREST, CITED",3300 Block of 16TH ST,-122.428107535067,37.7644862482639
2009-12-13 04:01:00,OTHER OFFENSES,RESISTING ARREST,RICHMOND,"ARREST, BOOKED",29TH AV / FULTON ST,-122.488470565316,37.7723729343568
2010-03-27 09:55:00,ASSAULT,THREATS AGAINST LIFE,INGLESIDE,NONE,0 Block of BLYTHDALE AV,-122.417720424652,37.710661234774896
2006-07-10 21:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,TENDERLOIN,"ARREST, BOOKED",400 Block of OFARRELL ST,-122.411742515582,37.7858882195106
2003-08-22 01:06:00,ASSAULT,BATTERY,SOUTHERN,NONE,MARKET ST / 6TH ST,-122.41029351969699,37.7822305869807
2011-11-05 23:50:00,KIDNAPPING,"KIDNAPPING, ADULT VICTIM",TARAVAL,NONE,1600 Block of HOLLOWAY AV,-122.47827820633199,37.7209451616295
2014-01-06 10:30:00,FORGERY/COUNTERFEITING,"FORGERY, NOTES",BAYVIEW,NONE,4900 Block of 3RD ST,-122.390978248429,37.733588480771395
2010-03-09 17:20:00,OTHER OFFENSES,CONSPIRACY,NORTHERN,"ARREST, BOOKED",2100 Block of CHESTNUT ST,-122.43872325496001,37.8005583558889
2008-08-19 03:30:00,DISORDERLY CONDUCT,DISTURBING THE PEACE,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2009-02-22 20:41:00,ASSAULT,BATTERY,SOUTHERN,NONE,200 Block of 7TH ST,-122.40864873517,37.7773110274033
2009-04-13 14:01:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,INGLESIDE,"ARREST, BOOKED",LONDON ST / PERSIA AV,-122.435206927167,37.72276515509829
2007-09-17 11:50:00,NON-CRIMINAL,FOUND PROPERTY,PARK,UNFOUNDED,700 Block of STANYAN ST,-122.453376250788,37.7687142722405
2014-02-18 14:50:00,NON-CRIMINAL,LOST PROPERTY,PARK,NONE,1300 Block of FELL ST,-122.44010399460501,37.7736849604306
2004-08-30 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,CENTRAL,NONE,STOCKTON ST / POST ST,-122.40677539239901,37.788498286591796
2004-08-04 09:50:00,WARRANTS,ENROUTE TO PAROLE OFFICER,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 4TH ST,-122.399617558789,37.7807906549838
2010-05-17 22:02:00,OTHER OFFENSES,PAROLE VIOLATION,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2007-10-30 13:41:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,BAYVIEW,NONE,2400 Block of SAN BRUNO AV,-122.405281327922,37.73185569495229
2011-10-08 13:17:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",BAYVIEW,NONE,1300 Block of 3RD ST,-122.389706200489,37.7715368683261
2011-10-31 21:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,SOUTHERN,"ARREST, CITED",MARKET ST / 10TH ST,-122.41750470314501,37.7765400380328
2013-11-28 02:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,TARAVAL,"ARREST, BOOKED",4000 Block of MORAGA ST,-122.506084076977,37.7548618294012
2011-04-06 20:50:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",PARK,NONE,1000 Block of FELL ST,-122.435122669886,37.7743200394152
2008-07-13 13:45:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",SOUTHERN,NONE,300 Block of 1ST ST,-122.393239745016,37.7862311729086
2011-09-06 11:00:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119
2012-10-31 17:30:00,WEAPON LAWS,CARRYING A CONCEALED WEAPON,SOUTHERN,JUVENILE BOOKED,600 Block of MARKET ST,-122.40165504043199,37.788904894591106
2003-05-30 07:15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,SOUTHERN,NONE,LANGTON ST / FOLSOM ST,-122.408383373137,37.77631721460261
2005-05-18 06:45:00,ASSAULT,BATTERY,RICHMOND,NONE,300 Block of 11TH AV,-122.469766223526,37.7817135599476
2013-12-10 09:30:00,SECONDARY CODES,DOMESTIC VIOLENCE,CENTRAL,"ARREST, BOOKED",2500 Block of MASON ST,-122.41381429243201,37.80703620711829
2008-09-21 16:49:00,ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,TENDERLOIN,"ARREST, BOOKED",TURK ST / JONES ST,-122.41241426358101,37.7830037964534
2005-01-12 02:46:00,WARRANTS,ENROUTE TO PAROLE OFFICER,SOUTHERN,NONE,900 Block of HARRISON ST,-122.40218600999,37.7788388606775
2012-07-27 13:15:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,NORTHERN,NONE,GERMANIA ST / FILLMORE ST,-122.430168303807,37.7707076800706
2010-05-20 03:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,TENDERLOIN,"ARREST, BOOKED",300 Block of LEAVENWORTH ST,-122.414269361877,37.7842081124308
2006-11-18 02:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",BAYVIEW,"ARREST, BOOKED",SHAFTER AV / KEITH ST,-122.388856204292,37.729980967299596
2004-05-14 11:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,CENTRAL,NONE,900 Block of HYDE ST,-122.41704429261401,37.78959527743221
2009-01-07 03:20:00,ASSAULT,BATTERY,NORTHERN,"ARREST, CITED",2700 Block of VANNESS AV,-122.424621298288,37.8008471613988
2004-01-05 10:45:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40652098714399,37.7850629421661
2006-12-30 21:45:00,MISSING PERSON,MISSING JUVENILE,NORTHERN,NONE,200 Block of HAIGHT ST,-122.42636199242901,37.7726818428837
2011-05-04 07:53:00,OTHER OFFENSES,RESISTING ARREST,SOUTHERN,"ARREST, BOOKED",400 Block of STEVENSON ST,-122.40856003729601,37.7825859895625
2012-12-14 00:01:00,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239
2004-10-28 09:00:00,FRAUD,"TRICK AND DEVICE, PETTY THEFT",BAYVIEW,PROSECUTED BY OUTSIDE AGENCY,1400 Block of BACON ST,-122.41645187761101,37.7243253324881
2007-02-21 16:37:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",SOUTHERN,JUVENILE DIVERTED,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2005-08-22 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,TARAVAL,NONE,1500 Block of GREAT HWY,-122.508936002109,37.7574698367316
2012-06-27 00:01:00,SECONDARY CODES,DOMESTIC VIOLENCE,INGLESIDE,NONE,300 Block of HARKNESS AV,-122.403201273033,37.7172708727424
2010-01-15 21:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,100 Block of BRANNAN ST,-122.38904057367,37.7843212349417
2010-06-03 15:30:00,OTHER OFFENSES,CONSPIRACY,RICHMOND,NONE,33RD AV / CLEMENT ST,-122.493446097951,37.7816258172695
2011-08-14 09:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,TARAVAL,NONE,1500 Block of JUDAH ST,-122.478605544673,37.7615742426174
2008-02-08 19:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",NORTHERN,"ARREST, CITED",2400 Block of GREENWICH ST,-122.439981974141,37.7983726368466
2008-08-18 18:30:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",NORTHERN,NONE,2700 Block of UNION ST,-122.444612669538,37.79598376134471
2004-07-19 23:58:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",TENDERLOIN,"ARREST, BOOKED",200 Block of EDDY ST,-122.411800134753,37.784089036686794
2014-03-03 17:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",TENDERLOIN,"ARREST, CITED",OFARRELL ST / POWELL ST,-122.408040474858,37.786409403361795
2015-03-17 12:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387
2004-07-08 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,CENTRAL,NONE,GREEN ST / BATTERY ST,-122.401432754729,37.800456647081
2005-09-11 02:05:00,ASSAULT,BATTERY,PARK,NONE,1800 Block of HAIGHT ST,-122.452728322759,37.7693241293319
2008-09-06 04:40:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411965795229,37.78491418595621
2003-08-07 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NORTHERN,NONE,3100 Block of WEBSTER ST,-122.43420343594101,37.799403168775
2005-11-29 22:58:00,OTHER OFFENSES,TRAFFIC VIOLATION,BAYVIEW,"ARREST, BOOKED",1900 Block of KEITH ST,-122.38976168706002,37.7290671066143
2014-06-24 17:28:00,NON-CRIMINAL,AIDED CASE,PARK,NONE,PIERCE ST / EDDY ST,-122.435617128052,37.7810099521381
2011-05-18 14:53:00,NON-CRIMINAL,FOUND PROPERTY,TENDERLOIN,NONE,0 Block of TURK ST,-122.409853729941,37.7833862379382
